epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13664.3,1.45078,0.3123,1.06589,0.8355,0.57879,0.65684,0.345,1.41492,0.26237,1.02799,0.00045017,0.00045017,0.00045017
43,13953.7,1.4529,0.3127,1.06654,0.83847,0.57811,0.65614,0.34605,1.41337,0.26239,1.02547,0.000439671,0.000439671,0.000439671
44,14243.4,1.45061,0.31095,1.06208,0.84145,0.57927,0.65965,0.34929,1.40079,0.26116,1.02214,0.000429087,0.000429087,0.000429087
45,14531.9,1.44638,0.3098,1.06037,0.84458,0.58176,0.66167,0.35089,1.39936,0.26016,1.02131,0.000418428,0.000418428,0.000418428
46,14819.7,1.45082,0.31111,1.06466,0.84731,0.58249,0.66392,0.35197,1.39427,0.25864,1.02026,0.000407705,0.000407705,0.000407705
47,15106.7,1.44689,0.30674,1.05743,0.84586,0.58184,0.66402,0.35265,1.39558,0.25778,1.0205,0.000396928,0.000396928,0.000396928
48,15391.9,1.44456,0.30556,1.05461,0.84845,0.58028,0.66331,0.35069,1.40097,0.25714,1.02008,0.000386109,0.000386109,0.000386109
49,15682,1.44557,0.30659,1.05835,0.84676,0.58293,0.66557,0.35339,1.3911,0.25603,1.01888,0.000375257,0.000375257,0.000375257
50,15968.9,1.43477,0.3048,1.0541,0.84903,0.58279,0.66715,0.35488,1.39118,0.25576,1.01906,0.000364384,0.000364384,0.000364384
51,16253.7,1.4358,0.30474,1.05481,0.84993,0.58335,0.6684,0.35464,1.39515,0.25578,1.02012,0.0003535,0.0003535,0.0003535
52,16541.6,1.42992,0.3034,1.05743,0.84845,0.58499,0.66874,0.35618,1.38935,0.25499,1.01832,0.000342616,0.000342616,0.000342616
53,16828.2,1.42385,0.30021,1.05401,0.8452,0.58697,0.66973,0.35661,1.38933,0.25435,1.01803,0.000331743,0.000331743,0.000331743
54,17118.7,1.415,0.29642,1.04885,0.84605,0.58869,0.67015,0.35676,1.39038,0.25359,1.01762,0.000320891,0.000320891,0.000320891
55,18016.2,1.41568,0.2978,1.04622,0.84785,0.58818,0.67116,0.35754,1.38616,0.25302,1.01676,0.000310072,0.000310072,0.000310072
56,18301,1.41234,0.29405,1.04691,0.84878,0.58743,0.67086,0.35803,1.38609,0.25244,1.01659,0.000299295,0.000299295,0.000299295
57,18610.5,1.41583,0.29643,1.04446,0.84544,0.58974,0.6709,0.35735,1.38856,0.25259,1.01642,0.000288572,0.000288572,0.000288572
58,18898.7,1.41415,0.29808,1.04202,0.8439,0.59128,0.67157,0.35801,1.38705,0.2523,1.01517,0.000277913,0.000277913,0.000277913
59,19189.1,1.41113,0.29493,1.04613,0.8448,0.59111,0.6713,0.35849,1.38481,0.25176,1.01512,0.000267329,0.000267329,0.000267329
60,19475,1.41455,0.29691,1.0488,0.84394,0.59209,0.67217,0.35947,1.38174,0.2512,1.01452,0.00025683,0.00025683,0.00025683
61,19763.3,1.40899,0.29392,1.04825,0.84392,0.59207,0.67242,0.35965,1.3831,0.25094,1.01542,0.000246426,0.000246426,0.000246426
62,20048.9,1.40283,0.29162,1.04289,0.84495,0.59246,0.67286,0.35991,1.38211,0.25066,1.01489,0.000236127,0.000236127,0.000236127
63,20335.4,1.39646,0.29009,1.03622,0.84569,0.59294,0.67361,0.36069,1.38085,0.25008,1.01466,0.000225945,0.000225945,0.000225945
64,20623.1,1.40096,0.29077,1.04119,0.8455,0.59318,0.6736,0.36092,1.37996,0.24957,1.01436,0.000215888,0.000215888,0.000215888
65,20908.7,1.39691,0.28871,1.0424,0.84678,0.59352,0.67438,0.36138,1.37948,0.2492,1.01414,0.000205967,0.000205967,0.000205967
66,21193.2,1.3941,0.28718,1.04144,0.84796,0.59327,0.6753,0.36161,1.37929,0.24889,1.01404,0.000196192,0.000196192,0.000196192
67,21478.3,1.39132,0.28827,1.03928,0.84889,0.59357,0.67566,0.36166,1.37938,0.24858,1.01385,0.000186572,0.000186572,0.000186572
68,21766.9,1.38798,0.28822,1.03752,0.84977,0.59342,0.67635,0.36205,1.37884,0.24835,1.01358,0.000177117,0.000177117,0.000177117
69,22053.8,1.3885,0.28635,1.03833,0.85046,0.59425,0.67675,0.36222,1.3786,0.24801,1.01335,0.000167836,0.000167836,0.000167836
70,22339,1.3872,0.28459,1.03244,0.8514,0.59449,0.67733,0.36264,1.3781,0.24782,1.01315,0.000158738,0.000158738,0.000158738
71,22624.8,1.37833,0.28384,1.03493,0.85075,0.59503,0.67771,0.36279,1.37729,0.24747,1.01288,0.000149832,0.000149832,0.000149832
72,22911.6,1.38185,0.28333,1.03345,0.84944,0.59549,0.67735,0.36292,1.3764,0.24716,1.01254,0.000141128,0.000141128,0.000141128
73,23200.1,1.37444,0.28107,1.03513,0.84889,0.59622,0.67821,0.36337,1.3757,0.24687,1.01225,0.000132633,0.000132633,0.000132633
74,23486.2,1.37283,0.28133,1.03129,0.84848,0.5966,0.67826,0.36361,1.37476,0.2466,1.01189,0.000124355,0.000124355,0.000124355
75,23777.1,1.37125,0.27783,1.0322,0.84973,0.59612,0.67809,0.36389,1.37398,0.24633,1.01166,0.000116304,0.000116304,0.000116304
76,24065.4,1.37311,0.28005,1.03355,0.84895,0.59692,0.67848,0.36422,1.37315,0.24614,1.0114,0.000108488,0.000108488,0.000108488
77,24356.7,1.36837,0.27804,1.03241,0.84799,0.59707,0.67835,0.36434,1.37173,0.24604,1.01101,0.000100912,0.000100912,0.000100912
78,24648.3,1.36537,0.27725,1.02568,0.84884,0.59667,0.67843,0.36425,1.37217,0.24596,1.01115,9.35865e-05,9.35865e-05,9.35865e-05
79,24938.7,1.36404,0.27683,1.03146,0.84842,0.59697,0.67843,0.36422,1.37244,0.24583,1.01122,8.65172e-05,8.65172e-05,8.65172e-05
80,25232.9,1.36161,0.27576,1.02697,0.84692,0.59745,0.67835,0.3642,1.37265,0.24572,1.01116,7.97113e-05,7.97113e-05,7.97113e-05
81,25523.5,1.35389,0.27417,1.02456,0.84727,0.59765,0.6789,0.36438,1.37231,0.24554,1.01095,7.31756e-05,7.31756e-05,7.31756e-05
82,26026.2,1.36441,0.27621,1.03004,0.84792,0.59717,0.67858,0.36436,1.37194,0.2455,1.01077,6.69166e-05,6.69166e-05,6.69166e-05
83,26315,1.3628,0.27589,1.02779,0.84783,0.59748,0.67894,0.3646,1.3718,0.2454,1.01077,6.09404e-05,6.09404e-05,6.09404e-05
84,26605.4,1.36122,0.27267,1.02463,0.8482,0.5976,0.67893,0.36461,1.37173,0.24537,1.01071,5.52529e-05,5.52529e-05,5.52529e-05
85,27365.4,1.35365,0.2722,1.02614,0.848,0.59784,0.67888,0.3646,1.37145,0.24526,1.01062,4.98597e-05,4.98597e-05,4.98597e-05
86,27961.7,1.35756,0.27319,1.02402,0.84824,0.59803,0.67931,0.36462,1.37135,0.24518,1.01061,4.47662e-05,4.47662e-05,4.47662e-05
87,28250.3,1.35901,0.27415,1.02262,0.84807,0.59817,0.67916,0.36469,1.37102,0.24513,1.01048,3.99774e-05,3.99774e-05,3.99774e-05
88,28540.3,1.35347,0.27252,1.02199,0.8479,0.59816,0.6791,0.36463,1.37083,0.24507,1.01046,3.5498e-05,3.5498e-05,3.5498e-05
89,29056.2,1.34882,0.2701,1.02081,0.84816,0.59845,0.67936,0.36469,1.37045,0.245,1.0103,3.13324e-05,3.13324e-05,3.13324e-05
90,29351.3,1.35649,0.27234,1.02358,0.84761,0.59899,0.6794,0.36472,1.37038,0.24494,1.01027,2.74848e-05,2.74848e-05,2.74848e-05
91,29645.7,1.30414,0.25532,1.01475,0.84823,0.59874,0.67956,0.36481,1.37012,0.24487,1.01018,2.39589e-05,2.39589e-05,2.39589e-05
92,29930.7,1.30723,0.25519,1.01649,0.84824,0.59866,0.67944,0.36477,1.36996,0.24482,1.01011,2.07582e-05,2.07582e-05,2.07582e-05
93,30217.9,1.31233,0.25668,1.01466,0.84714,0.59924,0.67969,0.36493,1.36965,0.24474,1.01005,1.78859e-05,1.78859e-05,1.78859e-05
94,30504.8,1.31032,0.25673,1.01613,0.84922,0.59871,0.68,0.36511,1.36942,0.24465,1.01001,1.53448e-05,1.53448e-05,1.53448e-05
95,30793.4,1.30436,0.25554,1.01302,0.84813,0.59934,0.68002,0.3651,1.36926,0.2446,1.01001,1.31375e-05,1.31375e-05,1.31375e-05
96,31080.9,1.30434,0.25477,1.01758,0.84871,0.59952,0.68025,0.36516,1.36926,0.24457,1.01002,1.1266e-05,1.1266e-05,1.1266e-05
97,31369.2,1.31347,0.25541,1.0179,0.84915,0.59944,0.68028,0.36517,1.36931,0.24455,1.01003,9.73226e-06,9.73226e-06,9.73226e-06
98,31654.4,1.30318,0.25423,1.01088,0.84828,0.59952,0.68026,0.36521,1.36923,0.24449,1.01004,8.53778e-06,8.53778e-06,8.53778e-06
99,31942,1.3074,0.25541,1.01627,0.84817,0.59949,0.68024,0.36513,1.36932,0.24444,1.01,7.68374e-06,7.68374e-06,7.68374e-06
100,32228.1,1.30687,0.25406,1.01317,0.84787,0.6002,0.6802,0.36509,1.36926,0.24439,1.00997,7.17098e-06,7.17098e-06,7.17098e-06
